"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cycs",0,0.34591465817503,0.636,0.519,0,"Monocyte (Patrolling)","Cycs"
"Arpc1b",0,0.344531042676782,0.983,0.958,0,"Monocyte (Patrolling)","Arpc1b"
"Hnrnpf",0,0.344105488420665,0.897,0.832,0,"Monocyte (Patrolling)","Hnrnpf"
"Trem3",0,0.343899638920097,0.156,0.022,0,"Monocyte (Patrolling)","Trem3"
"Slk",0,0.34332851200015,0.498,0.386,0,"Monocyte (Patrolling)","Slk"
"Gpr141",0,0.342834532744751,0.176,0.06,0,"Monocyte (Patrolling)","Gpr141"
"Samsn1",0,0.342491211323797,0.398,0.242,0,"Monocyte (Patrolling)","Samsn1"
"Baz1a",0,0.339635801962272,0.597,0.466,0,"Monocyte (Patrolling)","Baz1a"
"Csf2ra",0,0.338665414161227,0.653,0.547,0,"Monocyte (Patrolling)","Csf2ra"
"Mdm2",0,0.335518841675156,0.635,0.49,0,"Monocyte (Patrolling)","Mdm2"
"Nsf",0,0.335201172350834,0.443,0.334,0,"Monocyte (Patrolling)","Nsf"
"Slc39a14",0,0.334127708161552,0.243,0.11,0,"Monocyte (Patrolling)","Slc39a14"
"Sf3b1",0,0.333675720364401,0.797,0.709,0,"Monocyte (Patrolling)","Sf3b1"
"Cers6",0,0.333491531136903,0.375,0.245,0,"Monocyte (Patrolling)","Cers6"
"Adssl1",0,0.331009660123776,0.554,0.416,0,"Monocyte (Patrolling)","Adssl1"
"Chmp4b",0,0.32988379068873,0.842,0.772,0,"Monocyte (Patrolling)","Chmp4b"
"Syk",0,0.328641889290779,0.615,0.516,0,"Monocyte (Patrolling)","Syk"
"Rbm3",0,0.325253217190698,0.935,0.879,0,"Monocyte (Patrolling)","Rbm3"
"Hnrnpa3",0,0.320534791342997,0.842,0.765,0,"Monocyte (Patrolling)","Hnrnpa3"
"Stx11",0,0.319484821011376,0.26,0.125,0,"Monocyte (Patrolling)","Stx11"
"Tnip3",0,0.317968010782978,0.204,0.102,0,"Monocyte (Patrolling)","Tnip3"
"Tpd52",0,0.317964754078525,0.903,0.838,0,"Monocyte (Patrolling)","Tpd52"
"Gm26667",0,0.316766505694643,0.123,0.036,0,"Monocyte (Patrolling)","Gm26667"
"Eif4e",0,0.316546780357016,0.588,0.471,0,"Monocyte (Patrolling)","Eif4e"
"Gpd2",0,0.315327039603088,0.304,0.175,0,"Monocyte (Patrolling)","Gpd2"
"Ube2d3",0,0.3145983310973,0.895,0.837,0,"Monocyte (Patrolling)","Ube2d3"
"Ccrn4l",0,0.314459685633873,0.358,0.225,0,"Monocyte (Patrolling)","Ccrn4l"
"Sub1",0,0.314141800864548,0.932,0.882,0,"Monocyte (Patrolling)","Sub1"
"Arf5",0,0.313790190864831,0.907,0.86,0,"Monocyte (Patrolling)","Arf5"
